,ibns_20u,vgs_m1,name,type,time,OK
0,20.50995,0.7579687,tran_LayGtKfsTlVt,Lay,Sat Dec 21 00:20:47 2024,False
1,20.70313,0.685388,tran_LayGtKsfTlVt,Lay,Sat Dec 21 00:20:47 2024,True
2,20.68111,0.6953347,tran_LayGtKffTlVt,Lay,Sat Dec 21 00:20:46 2024,True
3,20.53225,0.7480513,tran_LayGtKssTlVt,Lay,Sat Dec 21 00:20:46 2024,False
4,20.56665,0.6838284,tran_LayGtKfsThVt,Lay,Sat Dec 21 00:20:46 2024,True
5,20.754920000000002,0.6037314,tran_LayGtKsfThVt,Lay,Sat Dec 21 00:20:46 2024,True
6,20.73596,0.61373,tran_LayGtKffThVt,Lay,Sat Dec 21 00:20:45 2024,True
7,20.58686,0.6738161,tran_LayGtKssThVt,Lay,Sat Dec 21 00:20:45 2024,True
